model_name,fold,final_accuracy,final_loss,best_accuracy,best_loss,epochs_trained,training_time_seconds,model_size_mb,timestamp,learning_rate,batch_size,weight_decay,warmup_steps,accuracy,precision,recall,f1_score,ham_precision,ham_recall,ham_f1_score,ham_support,spam_precision,spam_recall,spam_f1_score,spam_support,macro_avg_precision,macro_avg_recall,macro_avg_f1_score,macro_avg_support,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score,weighted_avg_support,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy
Distilbert + Deit,1,0.896,0.1814,0.896,0.1814,3,1853,846.4579238891602,2025-09-08T09:44:46.958322,0.0005,40,0.01,183,0.896,0.8961,0.896,0.8961,0.9005419190309213,0.8971101937122896,0.8988227807826916,3149.0,0.8913116403891311,0.8949141124957898,0.8931092436974789,2969.0,0.8959267797100262,0.8960121531040397,0.8959660122400852,6118.0,0.8960625634755969,0.8960444589735208,0.8960500623116232,6118.0,0.1855,0.8938,0.1814,0.896
Distilbert + Deit,2,0.8977,0.1853,0.8977,0.1853,3,1851,846.4579238891602,2025-09-08T10:15:39.142679,0.0005,40,0.01,183,0.8977,0.8977,0.8977,0.8977,0.8950189155107188,0.9064495530012772,0.9006979695431472,3132.0,0.9005431093007468,0.8884795713328868,0.894470667565745,2986.0,0.8977810124057328,0.897464562167082,0.8975843185544461,6118.0,0.8977150977037596,0.8976789800588427,0.8976586227460692,6118.0,0.1814,0.8959,0.1853,0.8977
Distilbert + Deit,3,0.8928,0.1861,0.8928,0.1861,3,1850,846.4579238891602,2025-09-08T10:46:30.092914,0.0005,40,0.01,183,0.8928,0.8931,0.8928,0.8928,0.906351263771873,0.884007585335019,0.8950400000000001,3164.0,0.878957783641161,0.9021665538253216,0.8904109589041097,2954.0,0.892654523706517,0.8930870695801703,0.8927254794520549,6118.0,0.893124663525694,0.8927754168028768,0.8928049252374535,6118.0,0.1869,0.8922,0.1861,0.8928
Distilbert + Deit,4,0.8916,0.1888,0.8916,0.1888,3,1859,846.4579238891602,2025-09-08T11:17:30.003262,0.0005,40,0.01,183,0.8916,0.8917,0.8916,0.8915,0.890053924505692,0.9093970003060912,0.8996214988644966,3267.0,0.8935251798561151,0.8712732374605402,0.8822589238145978,2851.0,0.8917895521809036,0.8903351188833157,0.8909402113395473,6118.0,0.8916715363075972,0.8916312520431514,0.8915305048358497,6118.0,0.19,0.8887,0.1888,0.8916
Distilbert + Deit,5,0.8931,0.187,0.8931,0.187,3,2403,846.4579238891602,2025-09-08T11:57:33.955634,0.0005,40,0.01,183,0.8931,0.8935,0.8931,0.893,0.8834149326805385,0.9136075949367088,0.8982576228998134,3160.0,0.9042441248684672,0.8712402838796891,0.887435456110155,2959.0,0.8938295287745028,0.892423939408199,0.8928465395049842,6119.0,0.893487424866203,0.8931197908154928,0.8930242855030819,6119.0,0.1927,0.8862,0.187,0.8931
Distilbert + Mobilevit,1,0.8472,0.4037,0.8553,0.3944,3,1658,537.5093154907227,2025-09-07T09:28:59.810038,0.0005,40,0.01,183,0.8553,0.8482,0.8472,0.8472,0.869,0.8278818672594475,0.8479427549194991,3149.0,0.826170622193714,0.8676321993937353,0.8463939543288976,2969.0,0.847585311096857,0.8477570333265914,0.8471683546241984,6118.0,0.8482153607867173,0.847172278522393,0.847191138549199,6118.0,0.4076,0.8461,0.4037,0.8472
Distilbert + Mobilevit,2,0.8138,0.4669,0.8856,0.3374,3,1672,537.5093154907227,2025-09-07T09:56:52.196088,0.0005,40,0.01,183,0.8856,0.8551,0.8138,0.8073,0.7381123058542414,0.9862707535121328,0.844335110017767,3132.0,0.9777547853078117,0.6329537843268587,0.7684488717218947,2986.0,0.8579335455810265,0.8096122689194958,0.8063919908698308,6118.0,0.8550741305761048,0.8138280483818241,0.8072974657628674,6118.0,0.4696,0.8378,0.4669,0.8138
Distilbert + Mobilevit,3,0.8411,0.4986,0.8411,0.4986,3,1677,537.5093154907227,2025-09-07T10:24:49.640001,0.0005,40,0.01,183,0.8411,0.8466,0.8411,0.8401,0.8070028011204482,0.9105562579013906,0.8556578556578557,3164.0,0.8889324960753532,0.7667569397427217,0.8233369683751363,2954.0,0.8479676485979006,0.8386565988220562,0.839497412016496,6118.0,0.8465615325517639,0.8411245505067015,0.8400521183199751,6118.0,0.5185,0.8275,0.4986,0.8411
Distilbert + Mobilevit,4,0.9005,0.3341,0.9005,0.3341,3,1674,537.5093154907227,2025-09-07T10:52:44.712399,0.0005,40,0.01,183,0.9005,0.9005,0.9005,0.9004,0.8979041916167665,0.9179675543311907,0.9078250340547903,3267.0,0.9035277177825773,0.8803928446159243,0.8918102682536863,2851.0,0.9007159546996719,0.8991801994735575,0.8998176511542383,6118.0,0.9005247658401608,0.9004576659038902,0.900362121779709,6118.0,0.3498,0.8685,0.3341,0.9005
Distilbert + Mobilevit,5,0.6012,0.5966,0.8016,0.564,3,1671,537.5093154907227,2025-09-07T11:20:36.282566,0.0005,40,0.01,183,0.8016,0.7723,0.6012,0.5174,0.5643546657132642,0.9990506329113924,0.7212702764450537,3160.0,0.9942857142857143,0.1764109496451504,0.29965556831228474,2959.0,0.7793201899994893,0.5877307912782714,0.5104629223786692,6119.0,0.7722588939737447,0.60124203301193,0.5173876287305802,6119.0,0.4738,0.8231,0.5966,0.6012
Distilbert + Vit-Tiny,1,0.9126,0.1666,0.9126,0.1666,3,1360,538.0387344360352,2025-09-08T21:28:27.932904,0.0005,40,0.01,183,0.9126,0.9174,0.9126,0.9124,0.9621640735502122,0.8640838361384566,0.9104902124811778,3149.0,0.8699088145896656,0.9639609296059279,0.9145230867550728,2969.0,0.9160364440699389,0.9140223828721923,0.9125066496181253,6118.0,0.9173935825639645,0.9125531219352729,0.912447323255809,6118.0,0.1723,0.9079,0.1666,0.9126
Distilbert + Vit-Tiny,2,0.905,0.1751,0.905,0.1751,3,1353,538.0387344360352,2025-09-08T21:51:01.347941,0.0005,40,0.01,183,0.905,0.9053,0.905,0.905,0.9164218086842965,0.8962324393358876,0.9062146892655366,3132.0,0.8936170212765957,0.9142665773610181,0.9038238702201623,2986.0,0.905019414980446,0.9052495083484529,0.9050192797428495,6118.0,0.9052915217932546,0.9050343249427918,0.9050478070050777,6118.0,0.1819,0.9036,0.1751,0.905
